,Abilene,Albany,Albuquerque,Atlanta,Austin,Baltimore,Baton_Rouge,Billings,Birmingham,Bismarck,Bostons,Buffalo,Charleston,Charlotte,Chicago,Cincinnati,Cleveland,Columbus,Dallas,Denver,Detroit,El_Paso,Fresno,Greensboro,Hartford,Houston,Jacksonville,Kansas_City,Las_Vegas,Little_Rock,Long_Island,Los_Angeles,Louisville,Memphis,Miami,Milwaukee,Minneapolis,Nashville,New_Orleans,New_York,Newark,Norfolk,Oakland,Oklahoma_City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Richmond,Rochester,Sacramento,Salt_Lake_City,San_Antonio,San_Diego,San_Francisco,San_Jose,Santa_Barbara,Scranton,Seattle,Spokane,Springfield,St_Louis,Syracuse,Tallahassee,Tampa,Toledo,Tucson,Tulsa,Washington_DC,West_Palm_Beach,Wilmington
Greensboro,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.75,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.625,0.7083333333333334,0.625,0.625,0.75,0.625,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.7083333333333334,0.6666666666666666,0.75,0.7083333333333334,0.625,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.75,0.625,0.6666666666666666,0.6666666666666666,0.625,0.7083333333333334,0.7083333333333334,0.75,0.625,0.5416666666666666,0.625,0.75,0.7083333333333334,0.625,0.625,0.6666666666666666,0.625,0.6666666666666666,0.7083333333333334,0.625,0.6666666666666666,0.7083333333333334,0.625,0.625,0.75,0.6666666666666666,0.6666666666666666,0.625,0.625,0.7083333333333334,0.625,0.7083333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5,0.625,0.75,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.75,0.75
Hartford,0.625,0.875,0.75,0.7083333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.875,0.75,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.75,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.9583333333333334,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333334,0.875,0.6666666666666666,0.7916666666666666,0.75,0.75,0.6666666666666666,0.5833333333333334,0.75,0.7916666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.8333333333333334,0.75,0.75,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.625,0.7083333333333334,0.5416666666666666,0.6666666666666666,0.75,0.7916666666666666,0.8333333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.75,0.75,0.875
Houston,0.75,0.7916666666666666,0.875,0.75,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.75,0.75,0.75,0.75,0.625,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.75,0.875,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.9166666666666666,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.75,0.7083333333333334,0.875,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.75,0.875,0.8333333333333334,0.8333333333333334,0.75,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.75,0.7083333333333334,0.7916666666666666,0.75,0.7916666666666666,0.8333333333333334
Jacksonville,0.625,0.7083333333333334,0.75,0.8333333333333334,0.7083333333333334,0.75,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.75,0.75,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.875,0.7916666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.7083333333333334,0.75,0.625,0.6666666666666666,0.875,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.625,0.75,0.6666666666666666,0.75,0.625,0.625,0.6666666666666666,0.5,0.7083333333333334,0.75,0.8333333333333334,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.5833333333333334,0.75,0.75,0.8333333333333334,0.7916666666666666
Kansas_City,0.75,0.7916666666666666,0.875,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.8333333333333334,0.75,0.75,0.75,0.875,0.7916666666666666,0.7916666666666666,0.875,0.7916666666666666,0.75,0.75,0.8333333333333334,0.7916666666666666,0.9583333333333334,0.75,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.875,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.75,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.75,0.6666666666666666,0.7916666666666666,0.75,0.875,0.7916666666666666,0.875,0.75,0.75,0.7083333333333334,0.625,0.75,0.8333333333333334,0.9166666666666666,0.7916666666666666,0.75,0.875,0.7916666666666666,0.7083333333333334,0.875,0.7916666666666666,0.8333333333333334,0.875
Las_Vegas,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.6666666666666666,0.7083333333333334,0.625,0.6666666666666666,0.5416666666666666,0.625,0.7083333333333334,0.7083333333333334,0.625,0.6666666666666666,0.75,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.625,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.75,0.875,0.7083333333333334,0.6666666666666666,0.875,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.625,0.7083333333333334,0.6666666666666666,0.625,0.8333333333333334,0.7083333333333334,0.75,0.5416666666666666,0.7083333333333334,0.6666666666666666,0.625,0.75,0.75,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.75,0.7916666666666666,0.625,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.75,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.75
Little_Rock,0.7083333333333334,0.75,0.8333333333333334,0.75,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.75,0.75,0.7916666666666666,0.7083333333333334,0.75,0.6666666666666666,0.75,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.875,0.75,0.75,0.8333333333333334,0.75,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.9166666666666666,0.75,0.75,0.7916666666666666,0.875,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.75,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.75,0.75,0.75,0.75,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.625,0.7916666666666666,0.7083333333333334,0.625,0.75,0.75,0.8333333333333334,0.75,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.75,0.7916666666666666,0.8333333333333334
Long_Island,0.6666666666666666,0.875,0.7916666666666666,0.75,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.75,0.7083333333333334,0.875,0.7916666666666666,0.625,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.75,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.875,0.75,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.75,0.9166666666666666,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.625,0.7916666666666666,0.8333333333333334,0.875,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.75,0.75,0.7083333333333334,0.75,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.75,0.7083333333333334,0.75,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.5833333333333334,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.875,0.7083333333333334,0.8333333333333334,0.75,0.625,0.75,0.75,0.7916666666666666,0.9166666666666666
Los_Angeles,0.75,0.7083333333333334,0.875,0.7083333333333334,0.75,0.75,0.75,0.7916666666666666,0.7083333333333334,0.75,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.75,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.75,0.7083333333333334,0.875,0.875,0.625,0.6666666666666666,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.875,0.75,0.7083333333333334,0.9166666666666666,0.7916666666666666,0.8333333333333334,0.75,0.75,0.7083333333333334,0.7083333333333334,0.75,0.75,0.625,0.625,0.875,0.6666666666666666,0.75,0.7083333333333334,0.6666666666666666,0.875,0.75,0.7916666666666666,0.5833333333333334,0.75,0.6666666666666666,0.625,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334,0.875,0.7916666666666666,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.8333333333333334,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.75,0.75,0.75,0.75,0.7916666666666666
Louisville,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334,0.75,0.7916666666666666,0.75,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.75,0.7916666666666666,0.75,0.75,0.75,0.8333333333333334,0.75,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.75,0.8333333333333334,0.75,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.75,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.75,0.8333333333333334,0.7083333333333334,0.75,0.7083333333333334,0.6666666666666666,0.75,0.8333333333333334,0.875,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.875
Memphis,0.75,0.7916666666666666,0.875,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.6666666666666666,0.75,0.8333333333333334,0.75,0.75,0.7916666666666666,0.875,0.7916666666666666,0.7916666666666666,0.875,0.7916666666666666,0.7083333333333334,0.75,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666666,0.875,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.75,0.7916666666666666,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8333333333333334,0.75,0.6666666666666666,0.7916666666666666,0.75,0.875,0.7916666666666666,0.875,0.75,0.75,0.75,0.625,0.7916666666666666,0.8333333333333334,0.875,0.7916666666666666,0.75,0.875,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875
Miami,0.75,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.75,0.875,0.7916666666666666,0.75,0.8333333333333334,0.75,0.75,0.7916666666666666,0.75,0.7916666666666666,0.7916666666666666,0.75,0.75,0.75,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.75,0.75,0.75,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.75,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.75,0.75,0.8333333333333334,0.75,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.7083333333333334,0.875,0.75,0.6666666666666666,0.75,0.7083333333333334,0.8333333333333334,0.75,0.8333333333333334,0.7083333333333334,0.75,0.7083333333333334,0.5833333333333334,0.75,0.875,0.875,0.7916666666666666,0.75,0.9166666666666666,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.7916666666666666,0.875,0.875
Milwaukee,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.7083333333333334,0.625,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.75,0.625,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.75,0.75,0.7916666666666666,0.75,0.9166666666666666,0.7083333333333334,0.7083333333333334,0.75,0.75,0.625,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.75,0.7083333333333334,0.5833333333333334,0.75,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.75,0.8333333333333334,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.625,0.7083333333333334,0.7083333333333334,0.75,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666
Minneapolis,0.7083333333333334,0.625,0.7916666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.625,0.5416666666666666,0.625,0.7083333333333334,0.625,0.625,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.625,0.7916666666666666,0.7083333333333334,0.5416666666666666,0.5833333333333334,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.625,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.5416666666666666,0.75,0.625,0.6666666666666666,0.625,0.7083333333333334,0.75,0.7083333333333334,0.6666666666666666,0.5,0.6666666666666666,0.625,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.625,0.625,0.7083333333333334,0.6666666666666666,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334
Nashville,0.6666666666666666,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.75,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.75,0.5833333333333334,0.6666666666666666,0.75,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666,0.7083333333333334,0.625,0.75,0.75,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.75,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666,0.75,0.7083333333333334,0.625,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.75,0.75,0.6666666666666666,0.75,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.5416666666666666,0.6666666666666666,0.75,0.7916666666666666,0.75,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.7083333333333334,0.7916666666666666,0.8333333333333334
New_Orleans,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.7916666666666666,0.75,0.7916666666666666,0.75,0.7916666666666666,0.875,0.6666666666666666,0.75,0.7916666666666666,0.75,0.75,0.75,0.8333333333333334,0.75,0.7916666666666666,0.8333333333333334,0.75,0.75,0.7916666666666666,0.7916666666666666,0.75,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.7916666666666666,0.9166666666666666,0.875,0.75,0.75,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666,0.75,0.7916666666666666,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.75,0.75,0.7083333333333334,0.8333333333333334,0.75,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.75,0.5833333333333334,0.7083333333333334,0.8333333333333334,0.875,0.8333333333333334,0.7916666666666666,0.875,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.9166666666666666
New_York,0.75,0.875,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.75,0.7916666666666666,0.75,0.7916666666666666,0.75,0.8333333333333334,0.75,0.7916666666666666,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.875,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.7083333333333334,0.7916666666666666,0.875,0.9583333333333334,0.7916666666666666,0.75,0.7916666666666666,0.7083333333333334,0.75,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.75,0.8333333333333334,0.8333333333333334,0.75,0.75,0.7083333333333334,0.8333333333333334,0.75,0.8333333333333334,0.75,0.7083333333333334,0.75,0.5833333333333334,0.7083333333333334,0.8333333333333334,0.875,0.875,0.75,0.875,0.8333333333333334,0.6666666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.9583333333333334
Newark,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.625,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.625,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.625,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.625,0.6666666666666666,0.7083333333333334,0.625,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.625,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.625,0.5833333333333334,0.6666666666666666,0.75,0.7916666666666666,0.8333333333333334,0.625,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.625,0.7083333333333334,0.75,0.5833333333333334,0.625,0.5833333333333334,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666666,0.625,0.6666666666666666,0.4583333333333333,0.5833333333333334,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.75,0.5416666666666666,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7916666666666666
Norfolk,0.625,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.625,0.75,0.625,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.625,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.625,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.75,0.75,0.625,0.7916666666666666,0.6666666666666666,0.625,0.625,0.7083333333333334,0.625,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.625,0.7916666666666666,0.6666666666666666,0.5833333333333334,0.625,0.5833333333333334,0.7083333333333334,0.625,0.7083333333333334,0.625,0.625,0.625,0.5,0.625,0.75,0.75,0.7083333333333334,0.625,0.7916666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.7916666666666666
Oakland,0.7916666666666666,0.75,0.9166666666666666,0.75,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.75,0.7916666666666666,0.7083333333333334,0.75,0.625,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.875,0.6666666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.75,0.875,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.9583333333333334,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.7083333333333334,0.9166666666666666,0.7916666666666666,0.8333333333333334,0.625,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.7916666666666666,0.875,0.875,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.75,0.8333333333333334,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334
Oklahoma_City,0.625,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.625,0.625,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.625,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.75,0.625,0.75,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.75,0.75,0.7083333333333334,0.625,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.625,0.7083333333333334,0.875,0.6666666666666666,0.7083333333333334,0.625,0.7083333333333334,0.75,0.6666666666666666,0.625,0.75,0.625,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.75,0.625,0.625,0.625,0.5416666666666666,0.6666666666666666,0.7083333333333334,0.75,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.625,0.7916666666666666,0.7083333333333334,0.75,0.75
Omaha,0.7083333333333334,0.75,0.8333333333333334,0.75,0.75,0.75,0.7916666666666666,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.75,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.75,0.75,0.8333333333333334,0.75,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.75,0.75,0.75,0.7916666666666666,0.7916666666666666,0.75,0.75,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,0.625,0.8333333333333334,0.6666666666666666,0.875,0.75,0.6666666666666666,0.7916666666666666,0.75,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.5833333333333334,0.75,0.7083333333333334,0.8333333333333334,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.625,0.625,0.75,0.75,0.8333333333333334,0.75,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.7916666666666666
Orlando,0.6666666666666666,0.75,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.75,0.75,0.7916666666666666,0.75,0.75,0.75,0.7083333333333334,0.7916666666666666,0.75,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.75,0.75,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.7083333333333334,0.625,0.75,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.75,0.9166666666666666,0.7083333333333334,0.75,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.875,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.5416666666666666,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.75,0.7083333333333334,0.8333333333333334,0.7916666666666666,0.6666666666666666,0.75,0.75,0.9166666666666666,0.8333333333333334
Philadelphia,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.625,0.7083333333333334,0.75,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.75,0.6666666666666666,0.625,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.75,0.625,0.75,0.7083333333333334,0.6666666666666666,0.75,0.75,0.75,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.75,0.7916666666666666,0.7083333333333334,0.625,0.7083333333333334,0.625,0.6666666666666666,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.7916666666666666,0.625,0.5833333333333334,0.75,0.75,0.5833333333333334,0.6666666666666666,0.625,0.75,0.7083333333333334,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.625,0.75,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.75,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.75,0.7916666666666666
